Year,Category,Film Title,Winner,Speech
1997,Actress in a Leading Role,As Good as It Gets,Helen Hunt," HELEN HUNT:
The first time I saw ""Mrs. Brown"" -- saw it three times.  The first time I saw it, I leaned over to my beloved and said, ""She's [Judi Dench] going to win an Academy Award.""  And in my mind tonight she has.  And so has Julie Christie, and so has Helena Bonham Carter, and so has Kate Winslet.  And for that matter so has Billy Connolly, and so has Ben Affleck, and so has Joan Allen.  And I am honored to work in a year when there were so many magnificent performances.

I am here for one reason and that's Jim Brooks.  One single reason, and that's the only reason really.  That's the only reason.  I thank -- I am tired of thanking you -- I thank God for giving me a little piece of you.  Jack, I worship you, you know it.  Greg, I hope you hold in your heart how beautiful your performance in this movie was.  I would like to thank our producers Bridget Johnson, Kristi Zea, Larry Mark.  Everyone at Sony.  The team of experts it took to make me available for this movie.  My acting teachers Lurene Tuttle, wherever you are, Gordon Hunt, Larry Moss, Gary Austin, for giving me a way to learn about myself and the world, and a way to express myself.  I hate to think who I would be without that.  My parents, who are sobbing at this point.  My friends, who are at home jumping up and down.  And you [Hank Azaria], the very, just the very best man I know.  Thank you so much.  This is a magnificent honor.  Thank you very much.
"
1997,Actress in a Supporting Role,L.A. Confidential,Kim Basinger," KIM BASINGER:
Oh my God!  Thank you!  Thank you!  Thank you!  Wait a minute, we did only get thirty seconds, and to give a thousand thank you's.  I just want to thank everybody I have ever met in my entire life.  Curtis Hanson, Curtis Hanson, Curtis Hanson.  The cast and crew from the movie.  I could not have done this without them.  Annett Wolf, my great friend Georgia, my sister Ashley, my husband Alec, my baby girl Ireland.  If anyone has a dream out there, just know that I am living proof that they do come true.  Thank you so much to the Academy.  I am so grateful for this.  And Daddy, this is for you.
"
1997,Music (Original Musical or Comedy Score),The Full Monty,Anne Dudley," ANNE DUDLEY:
Thank you very much. This is a great honor.  It's great to be here; it's wonderful.  It's been amazing being part of the success of ""The Full Monty"" over the past year.  Nobody, of course, works alone on a film, and I'd really like to thank Peter Cattaneo and Uberto Pasolini for their brilliance and inspiration and encouragement.  And the musicians who played the music and brought it to life.  Thank you very much.
"
1998,Actress in a Leading Role,Shakespeare in Love,Gwyneth Paltrow," GWYNETH PALTROW:
I would like to thank the Academy from the bottom of my heart.  I would like to thank Emily Watson, and Fernanda Montenegro, and my friend Cate Blanchett, and the greatest one who ever was, Meryl Streep.  I don't feel very deserving of this in your presence.

But I would like to thank Harvey Weinstein and everybody at Miramax Films for their undying support of me.  I would like to -- I wouldn't be in this auditorium, let alone up here, if it wasn't for two incredibly talented men. Our director John Madden, thank you so much for all that you gave me.  You are so inspiring.  And to my soulful partner, Joseph Fiennes, who I share this with.  I wouldn't be here without him.  I would like to thank the rest of our miraculous cast and crew.  Our producers Donna Gigliotti and David Parfitt -- I didn't forget you this time!  Especially Jim Magill and Sophie Shand and my friend Ben Affleck.  I would like to thank my wonderful agent Rick Kurtzman who is a beautiful man and a wonderful agent and in his case that is not an oxymoron.  I would like to thank Harold Brown, Stuart Gelwarg*, and Stephen Huvane.

I would not have been able to play this role had I not understood love of a tremendous magnitude, and for that I thank my family.  My mother Blythe Danner, who I love more than anything, and my brother Jake Paltrow, who is just the dearest person in the whole world.  My earthly guardian angel, Mary Wigmore*.  And especially to my father Bruce Paltrow, who has surmounted insurmountable obstacles this year.  I love you more than anything in the world.  And to my grandpa Buster, who almost made it here tonight, but couldn't quite get here.  Grandpa, I want you to know that you have created a beautiful family who loves you and loves each other more than anything, and we thank you for that.

I would like to dedicate this to two young men who lost their lives very early.  Harrison Kravis and my cousin Keith Paltrow.  We miss you very much. And I thank you.  Thank you so much, everybody!
"
1998,Actress in a Supporting Role,Shakespeare in Love,Judi Dench," JUDI DENCH:
I feel for eight minutes on the screen I should only get a little bit of him. I do thank the Academy very much indeed.  I do think also that the best bit about the Academy Awards is being nominated.  You live in a kind of haze for several weeks, and the terrible thing is that somebody's got to win.  My heart goes out to all the other four who didn't.  And also, my admiration.

I do have to thank John Madden and Tom Stoppard and Marc Norman, as I actually wrote to John Madden after ""Mrs. Brown"" and said, I will do anything in your next film.  If you want somebody to slouch in a doorway, you can count on me.  And I mean it, and I hope he bears me in mind next time.  I do thank you all very much indeed.  I am very moved by it.  Thank you.
"
1998,Costume Design,Shakespeare in Love,Sandy Powell," SANDY POWELL:
I'd like to congratulate Whoopi for having the guts to wear that ""Velvet Goldmine"" costume.  Two nominations, one speech.  I want to thank everybody I worked with on both films.  There are too many names, it would be too boring. But really, this mostly is my brilliant, fantastic team that worked with me on everything.  Thank you, everybody.  Thank you.
"
1998,Documentary (Short Subject),The Personals: Improvisations on Romance in the Golden Years,Keiko Ibi," KEIKO IBI:
Thank you.  Who would have thought a girl from Japan can make a movie about Jewish senior citizens and actually receive this award.  Thank you.  I'm extremely grateful to Seth Glassman and my wonderful, wonderful seniors in my movie.  And extra special, special thanks to Sheila Nevins of HBO, and my editor Milton Ginsberg, who's here up there somewhere, and my cinematographer, my co-filmmaker, my husband, Greg Pak.  And I would also like to thank the Academy for recognizing the short documentary films.  And I hope that you will continue to do so.  And finally, my mother, for letting me come to the United States so I can follow my dream to become a filmmaker.  Thank you.
"
1998,Makeup,Elizabeth,Jenny Shircore," JENNY SHIRCORE:
Thank you very much.  I'm overjoyed.  Cate, this is because of you, really. Cate looked so wonderful as our Queen Elizabeth, and the way she wore the hair and makeup that we applied for her.  You did this.  And also thank you to my whole team that worked with me:  Sarah Phillips, the facial hair maker; and Terry Jarvis, my brilliant wig maker; and everybody else.  Mary Richards, who gave me the money to do it with.  And Cate, for Cate Blanchett.  Thank you very much.
"
1999,Actress in a Leading Role,Boys Don't Cry,Hilary Swank," HILARY SWANK:
Thank you, thank you so much.  We have come a long way.  To think that this movie wouldn't have been made three-and-a-half years ago, and we made it now for under two million dollars.   And now this.  It's quite remarkable.  I want to thank the Academy for their support and recognition of me and my work in a movie that is so important, and I am so proud to be a part of it.

This movie would have never been made -- I had, just on the off chance that I got up here, I brought this piece of paper because I knew I couldn't forget anyone, because everyone put their heart and soul into this movie and God knows no one got paid.  So first, Kimberly Peirce, for her fierce tenacity and vision.  Andy Bienen, our co-writer.  Killer Films, you guys always make important movies and I thank you for that.  John Hart, Jeff Sharp, for being there for me every single minute.  Jim Denault, our cinematographer, who was absolutely brilliant.  Kerry Barden, Jennifer McNamara, for fighting for me, the casting directors.  Chloë Sevigny, the rest of the cast, who portrayed their characters so honestly and brilliantly.  Lee Percy, our editor.

I want to thank Michael Stremel, Lindsay Law and Bill Mechanic and everyone at Fox Searchlight for putting their wing around this small, little movie and giving us wings.  Larry Moss, my acting coach, who, without him, I could have never given this performance.  Thank you, Larry.  My mom, who's up there somewhere [in the balcony].  It looks like living out of our car was worth it. Holly Hein, for keeping my head on straight.  My publicist Troy Nankin, who is a beautiful, beautiful human being.  Kami Putnam, I have to thank you for fighting for me.  I'm almost done, I promise.  The Independent Film Channel, for helping us finish our movie.  And Hylda Queally and David Wirtschafter, for their support.

And last, but certainly not least, I want to thank Brandon Teena for being such an inspiration to us all.  His legacy lives on through our movie to remind us to always be ourselves, to follow our hearts, to not conform.  I pray for the day when we not only accept our differences, but we actually celebrate our diversity.  Thank you very much.
"
1999,Actress in a Supporting Role,"Girl, Interrupted",Angelina Jolie," ANGELINA JOLIE:
God, I'm surprised nobody has ever fainted up here.  I'm, I'm in shock and I'm so in love with my brother right now.  He just held me and said he loved me and I know he's so happy for me.  And thank you for that.  And thank you to Columbia.  Winona, you're amazing and thank you for supporting all of us through this.  And all the girls in this film are amazing, and Whoopi, everybody, and my family for loving me.  Janeen Schreyer and your sister Michelle -- Michelle, we love you.  Geyer Kosinski.  My mom, who is the most brave, beautiful woman I've ever known.  And my dad, you're a great actor but you're a better father.  And Jamie, this is, you're just, I have nothing without you.  You are the strongest, most amazing man I've ever known and I love you.  And thank you so much.
"
1999,Costume Design,Topsy-Turvy,Lindy Hemming," LINDY HEMMING:
Thank you.  I'd like to thank Mike Leigh and Simon Channing-Williams and all the people who worked with me to make such beautiful costumes.  And I'd like to thank all of you for giving our little film such a brilliant start.  Thank you.
"
2000,Actress in a Leading Role,Erin Brockovich,Julia Roberts," JULIA ROBERTS:
Oh, thank you, thank you ever so much.  I'm so happy.  Thank you.  I have a television, so I'm going to spend some time here to tell you some things.  And sir [speaking to music conductor Bill Conti], you're doing a great job, but you're so quick with that stick.  So why don't you sit, 'cause I may never be here again.

I would like to start with telling you all how amazing the experience of feeling the sisterhood of being included in a group with Joan Allen and Juliette Binoche and Laura Linney and Ellen Burstyn for these last weeks has been.  It's just felt like such a triumph to me to be in that list.  My name starts with ""R"" so I'm always last, but I still love the list.  But I can't believe this, this is so [looking at the Oscar]... this is quite pretty.

I want to acknowledge so many people that made ""Erin Brockovich,"" ""Erin Brockovich"" -- but let me make my dress pretty [adjusts the train of her dress].  Universal, everybody at Universal, Kevin Misher and Stacey Snider and Stacey Sher -- and I can't believe I'm remembering everybody's name.  Jersey Films, Danny DeVito, and everybody over there.  Everyone I've ever met in my life.  This movie was sinfully fun to make, and Albert Finney is my friend and my pleasure to act with.  And Aaron Eckhart and Scotty and Gemmenne and Brittany and Ashley, all the wonderful actors that played my children.  And Marg Helgenberger -- and turn that clock off, it's making me nervous.  Greg Jacobs, everybody on our crew that was so great.  And, well, just a few other people...  But really, the main person -- well, Richard LaGravenese and Susannah Grant who wrote such a nice script.

Steven Soderbergh -- hi, there you are -- you truly just made me want to be the best actor that I suppose I never knew I could be, or aspire to.  And I made every attempt -- Stick-man, I see you.  So I thank you for really making me feel so... [laughs!]  I love it up here!  Yeah, anyway, I start working for him again in two days, so I can get to you later.  But Benjamin Bratt, my sister Lisa, my brother-in-law Tony.  Elaine Goldsmith-Thomas, who's been my agent since God was a boy.  Jeff Berg.  My mom!  And just Frances* and Marcus and Mike and everybody who's watching at home.  Kelly, Emma, everybody.  I love the world!  I'm so happy!  Thank you!
"
2000,Actress in a Supporting Role,Pollock,Marcia Gay Harden," MARCIA GAY HARDEN:
Thank you.  What a thrill.  Members of the Academy, thank you.  Thank you for taking the time to even view the tape and consider our film.  Ed Harris, thank you for inviting me to share your passion.  You are a brave director and an even braver actor and I love you.  Dad, who's here tonight, thank you for teaching me how to soldier through tough situations, and Mom, for teaching me how to do it gracefully.  To Fred Berner, Peter Brant and Joe Allen, thank you for rearing this film and for ushering it into the world.  Sony Pictures Classics and especially Michael Barker.  To my family and my agents and Maryellen Mulcahy, without whom I would never be here.  My lawyer.  My husband Thaddaeus Scheel.  All the people who help you in this crazy business, I want to thank you.  And for the inception of the film, James Trezza and Barbara Turner.  Thank you.
"
2000,Costume Design,Gladiator,Janty Yates," JANTY YATES:
Thank you, Academy.  Thank you, DreamWorks.  Thank you, Walter Parkes, Branko Lustig, Terry Needham.  A huge thank you to Ridley Scott for his vision and his incredible inspiration.  But this doesn't belong to me alone.  It belongs to a huge costume crew who worked so hard in Malta and Morocco and in the U.K. It belongs to the armour makers.  It belongs to the costume makers.  To the jewelry, footwear creators and the costume breakers.  I couldn't have done it without these people:  without Vanessa Jones, without my husband Tony Dixon, without Jake Scott.  And I couldn't have done it without Rosemary Burrows, Annie Hadley and Sammy Howarth.  Thank you.
"
2000,Documentary (Short Subject),Big Mama,Tracy Seretean," TRACY SERETEAN:
Wow, talk about beginner's luck.  Thank you very much, members of the Academy.  This is my first film, but I certainly didn't work with beginners. I thank the entire team of documentary people at HBO:  Jeff Bewkes, Chris Albrecht, and most especially, thank you, Sheila Nevins.  Also Geof Bartz, Julie Anderson.  There are a few people who were with me from the very beginning three years ago:  Mitchell Block, Lisa Leeman, and my cinematographer Tamara Goldsworthy.  I'm here because of my family and friends.  Thank you, I wish I could name you all.  Lastly, I want to dedicate this award to my film's subjects, Walter Dees and his grandmother Viola, who died, unfortunately, in December at ninety-one.  I'm sure she would want though to share this award with the grandmothers like her who are struggling to raise a generation of children whose own parents abandoned them.  Thanks very much, and thank you to all those grandparents out there.  Thank you.
"
2001,Actress in a Leading Role,Monster's Ball,Halle Berry," HALLE BERRY:
Oh my God.  Oh my God.  I'm sorry.  This moment is so much bigger than me. This moment is for Dorothy Dandridge, Lena Horne, Diahann Carroll.  It's for the women that stand beside me, Jada Pinkett, Angela Bassett, Vivica Fox.  And it's for every nameless, faceless woman of color that now has a chance because this door tonight has been opened.  Thank you.  I'm so honored.  I'm so honored.  And I thank the Academy for choosing me to be the vessel for which His blessing might flow.

I want to thank my manager, Vincent Cirrincione.  He's been with me for twelve long years and you fought every fight, and you loved me when I've been up but more importantly you've loved me when I've been down.  You have been a manager, a friend and the only father I've ever known.  Really.  And I love you very much.  I want to thank my mom who has given me the strength to fight every single day to be who I want to be and to give me the courage to dream, that this dream might be happening and possible for me.  I love you, Mom, so much.  Thank you, my husband, who is just a joy of my life.  And India, thank you for giving me peace because only with the peace that you've brought me have I been allowed to go to places that I never even knew I could go.  Thank you.  I love you and India with all my heart.

I want to thank Lions Gate.  Thank you, Mike Paseornek, Tom Ortenberg, for making sure everybody knew about this little tiny movie.  Thank you for believing in me.  Our director Marc Forster, you're a genius.  You're a genius.  This moviemaking experience was magical for me because of you.  You believed in me, you trusted me and you gently guided me to very scary places. I thank you.  I want to thank Ivana Chubbuck, I could have never figured out who the heck this lady was without you.  I love you.  Thank you.  I want to thank Lee Daniels, our producer.  Thank you for giving me this chance, for believing that I could do it.  And now tonight I have this.  Thank you.

I want to thank my agents.  CAA, Josh Lieberman especially.  I have to thank my agents.  Kevin Huvane, thank you.  Thank you for never kicking me out and sending me somewhere else.  Thank you.  Um...   I, I, I, who else?  I have so many people that I know I need to thank.  My lawyers!  Neil Meyer, thank you. Okay, wait a minute.  I got to take... seventy-four years here!  I got to take this time!  I got to thank my lawyer Neil Meyer for making this deal. Doug Stone.  I need to thank lastly and not leastly, I have to thank Spike Lee for putting me in my very first film and believing in me.  Oprah Winfrey, for being the best role model any girl can have.  Joel Silver, thank you.  And thank you to Warren Beatty.  Thank you so much for being my mentors and believing in me.  Thank you!  Thank you!  Thank you!
"
2001,Actress in a Supporting Role,A Beautiful Mind,Jennifer Connelly," JENNIFER CONNELLY:
Hello.  Okay, I brought paper because I didn't want to forget.

Thank you to the members of the Academy for this honor.  By some beautiful twist of fate I've landed in this vocation that demands that I feel and helps me to learn.  I know film has moved or taught me more than a beautiful mind. Thank you to all of our magnificent cast and crew for their invaluable collaboration and most especially to Ron Howard and to Russell Crowe.  Thanks to all the artists who have inspired me and the list is too long.

Thanks to my dearest ones who give me love and support, Risa Shapiro, Carrie Ross*, my family and friends.  I believe in love, that there is nothing more important.  Alicia Nash is a true champion of love, and so thank you to her for her example.  My son Kai is for me the greatest messenger, and so thank you to him for all of our days.  Thank you very much.
"
2002,Actress in a Leading Role,The Hours,Nicole Kidman," NICOLE KIDMAN:
Thank you so much.  Yes, now I have to think.  David Hare, I need your words. I have such appreciation and gratitude for this.  Russell Crowe said don't cry if you get up there, and now I'm crying.  Sorry.

Stephen Daldry, you took a huge chance on me.  I am so grateful.  David Hare, you gave me magnificent words to say.  Scott Rudin, you fought so hard for this film, to get it made.  Paramount and Miramax, you made it.  And Kevin Huvane, Rick Nicita, Marc Epstein stood by me for so many years.  And I am just absolutely thrilled to be standing up here tonight.

I do have to say it was, why do you come to the Academy Awards when the world is in such turmoil?  Because art is important.  And because you believe in what you do and you want to honor that.  And it is a tradition that needs to be upheld.  At the same time you say there is a lot of problems in the world. And since 9/11 there's been a lot of pain, in terms of families losing people, and now with the war, families losing people.  And God bless them. And I am standing here in front of my mother and my daughter and my whole life I've wanted to make my mother proud.  And now I want to make my daughter proud.  So thank you.
"
2002,Actress in a Supporting Role,Chicago,Catherine Zeta-Jones," CATHERINE ZETA-JONES:
Thank you so much.  My Scotsman giving the Welsh girl...  I can't believe it. Oh my gosh.  This is too--I mean, my hormones are just too way out of control to be dealing with this.

Thank you so much, the Academy.  To be nominated with such amazing women in an amazing year for women, thank you very much.  Everyone involved in ""Chicago.""  There's so many people.  Rob Marshall, Harvey Weinstein, Craig, Neil, everybody, and all the cast and crew.

Everybody in Swansea, South Wales, I love you.  And to my son Dylan, who is going to be watching at home, and to my husband, who I love and I share this award with you, along with this one, too, thank you so much.
"
2002,Costume Design,Chicago,Colleen Atwood," COLLEEN ATWOOD:
""Chicago"" began for me when I walked into a room of mirrors and watched Rob Marshall and three choreographers dance the entire show.  It was a powerful inspiration and continued to be as the collaboration expanded.  Sets, camera, stage lighting, an amazing cast who sang and danced, dancers, and my collaborators--Dale, Karen, Christine--all led by Bill Condon's script and Rob's clarity and heart.  Thanks to you all, and to Miramax and Marty Richards who let it all happen.   Thank you.
"
2003,Actress in a Leading Role,Monster,Charlize Theron," CHARLIZE THERON:
This has been such an incredible year.  I can't believe this.  I don't have a lot of time.  I have to thank my incredible director Patty Jenkins.  Thank you, thank you, thank you.  All of our producers, Brad, Clark, Meagan, Mark, Donald, Sammy Lee, everybody at Media 8, Bob and everybody at Newmarket, thank you so much for working so hard on this film.  My incredible, incredible leading lady Christina Ricci, who I couldn't have done this film without.  You are truly the unsung hero of this film.  I have to thank our entire crew, Toni G for transforming me so incredibly, every single person who worked on this film.  I couldn't have done it without you guys.  My incredible manager J.J. Harris, who has represented me for so long now.  And you've always believed in me.  I can't thank you enough.  My friend Steve Warren, my lawyer, thank you so much. Yes, I know.  He's my friend.  Heidi Schaeffer and Amanda Silverman from PMK.  My guardian angel Beth Kono.  My producing partner Meagan Riley-Grant.  And if I'm forgetting anybody, please, don't kill me.  And I know everybody in New Zealand has been thanked so I'm going to thank everybody in South Africa, my home country.  They're all watching tonight and I'm bringing this home next week.  And I have to thank my incredible partner in crime.  You're one hell of a partner to have.  Thank you so much for standing by me.  And my mom.  You've sacrificed so much for me to be able to live here and make my dreams come true and there are no words to describe how much I love you.  And I'm not gonna cry.  Thank you!  Thank you!  Thank you!
"
2003,Actress in a Supporting Role,Cold Mountain,Renée Zellweger," RENÉE ZELLWEGER:
I am overwhelmed.  I am overwhelmed.  Thank you.  I would like to thank the Academy for inviting me here tonight alongside so many talented people: Holly, Patricia, Marcia and Shohreh.  I am honored, honored to be here with you.

I'm standing here because of so many people, and I would like to thank them now if I could. Charles Frazier, thank you for your masterpiece and the gift of ""Ruby.""  I have to thank the producers, cast and crew of ""Cold Mountain."" I'll never forget it, never, because of you.   Especially Jude and Nicole. Such a privilege to go to work every day with you.  Such a privilege, my friends, thank you.  Anthony Minghella, you are brilliant and I care so much for you.  Thank you for all that you taught me, for making me be better and for your friendship.  My friends at Miramax, for making this film, especially Harvey and Meryl Poster.  Quite a gamble.   Thank you for doing it.

My fellows at CAA, Brandt and Bryan and Kevin, and Jenny Rawlings who takes such good care of me.  Actors Clearinghouse for the good start.  Sims Ellison. Vincent D'Onofrio, for teaching me how to work.  Tom Cruise, for showing me that, very early on, kindness and success are not mutually exclusive.  And finally and most importantly in my life, my glorious family, my immigrant mom and dad.   Thank you for never saying ""don't try.""  My brother, who I love so much, and his new wife, who clapped the loudest and laughed the loudest.  I love you so much.  Nanci Ryder, who's always there.  And my beloved John Carrabino.  Thank you for sharing this journey with me, every day of it. Without you there would be none of this.   Thank you for dreaming so much bigger than I would ever dare to dream and for making me believe.  I love you. This is for you.  Thank you.
"
2003,Documentary (Short Subject),Chernobyl Heart,Maryann DeLeo," MARYANN DeLEO:
Thank you.  This is an amazing honor.  I feel you're also honoring the people of Chernobyl who are suffering the effects of radiation still, eighteen years later after the world's worst accident at the reactor.  I could not have made this film without Adi Roche.  She's up there.  She heads the Chernobyl Children's Project and they are saving lives every day.  Adi is a true hero. Sheila Nevins from HBO has been a wonderful mentor and she's an amazing woman and I wouldn't be standing here without her.  It's not easy to stand here. Dr. William Novick also saves the lives of children in Belarus and all over the world with the International Children's Heart Foundation.   Angie Kenny is also here.  She's my friend and worked on the film and I want to thank her.  I want to thank John Custodio, Rogelio Velasco.  I want to thank my mother--who's here with me tonight, she's smiling back there--for everything. My father, who's home in Pearl River, for being there for me.  All my brothers and sisters--I have a big family, I won't name them all--but they're all here and I love them all and I thank them for their support.  Thank you very much.
"
2004,Actress in a Leading Role,Million Dollar Baby,Hilary Swank," HILARY SWANK:
I don't know what I did in this life to deserve all this. I'm just a girl from a trailer park who had a dream. I never thought this would ever happen, let alone be nominated. And a working actor, for that matter. And now, this. I thank the Academy. I am eternally grateful for this great honor. I would also like to acknowledge my fellow nominees. Annette, Imelda, Kate and Catalina, your work inspires me beyond words.

I am going to start by thanking my husband because I'd like to think I learn from past mistakes. Chad, you're my everything. Thank you for your support. It means the world. I would never be standing here if it weren't for each and every one of the brilliant people I had surrounding me, supporting me and believing in me. Tom Rosenberg, Gary Lucchesi, thank you for sending me this most marvelous script. You will never know how grateful I am. Paul Haggis, for writing this beautiful script. Our other producers extraordinaire: Al Ruddy, Clint, Rob Lorenz. Phyllis Huffman, our casting director. My trainers, Grant Roberts and Héctor Roca, you pushed me further than I ever thought I could push myself, up to that last pound, actually to that last ounce. I thank you. My sparring partners who were so patient. And everyone at Gleason's. Well, the ever-amazing Morgan Freeman. Tom Stern, our cinematographer, you are brilliant. Joel Cox, our editor, you're amazing. You know? I'm going to thank my mom for believing in me from the beginning; my dad for his support. My agents: Josh Lieberman, Tony Lipp, Kelly Tiffan, John Campisi. Jason Weinberg, my manager. [Music begins to play.]  Uh uh, you can't do that, because I haven't gotten to Clint yet. I saved him for the end. Karl Austen, Jeff Bernstein, my lawyers.

And then... Clint. Clint Eastwood, thank you for allowing me to go on this journey with you. Thank you for believing in me. You're my ""Mo Cuishle."" Thank you.

Alan Horn and Warner Bros., as well, thank you. [Music starts up again.] And you know what? Wait! Troy Nankin!  Troy Nankin, my best friend and publicist! Thank you!
"
2004,Actress in a Supporting Role,The Aviator,Cate Blanchett," CATE BLANCHETT:
Thank you very much. Thank you to the Academy who know Katharine Hepburn so well and is so intimately acquainted with her work. This is an indescribable surprise and honor. Thank you.

I know you think it's cheesy, sweetheart, but I have to thank you, my husband.  And Hylda Queally and Robyn Gardiner, my uber-agents. And the wonderful Lisa Kasteler. Everyone involved in ""The Aviator."" When you play someone as terrifyingly well-known as Katharine Hepburn, it's a collaborative effort; you need as much help as you can get. And thank you, of course, to Miss Hepburn. The longevity of her career, I think, is inspiring to everyone. But most importantly, and on behalf of everyone I know in ""The Aviator,"" thank you to Martin Scorsese. I hope my son will marry your daughter. Thank you.
"
2004,Costume Design,The Aviator,Sandy Powell," SANDY POWELL:
There are so many people to thank, but, most importantly, I'd like to thank my colleagues and partners in crime: Debbie Scott, Annie Hadley, John Cowell, Lisa Padovani and David Davenport. Also, a big, big thank you to Marty for being the inspiration for us all. Thank you.
"
2004,Film Editing,The Aviator,Thelma Schoonmaker," THELMA SCHOONMAKER:
Thank you so much. This is really as much yours as it is mine, Marty, not only because you helped me edit the movie, but because you think like an editor when you shoot. And you gave us an incredibly dazzling ride on this film and gave us a fantastic group of actors. I truly loved editing your footage and theirs.

There are so many people to thank. I won't thank them, but I think they know who they are: the mixers, the wonderful visual effects people. But particularly my assistants Scott Brock, Tom Foligno and Erin Crackel; they really got it up there on the screen. But it's really you, Marty. It's you. Thank you.
"
2004,Short Film (Live Action),Wasp,Andrea Arnold," ANDREA ARNOLD:
This is truly overwhelming. I'm not really used to this kind of thing. I'd like to thank everyone who worked on the film. Everyone worked extremely hard. They know who they are, and the beers are on me when we get home. And what can I say?  In English we'd say, I'd say that this is the dog's bollocks. Thank you very much.
"
2005,Actress in a Leading Role,Walk the Line,Reese Witherspoon," REESE WITHERSPOON:
Oh my goodness.  I never thought I'd be here in my whole life, growing up in Tennessee.  I want to say that Johnny Cash and June Carter had a wonderful tradition of honoring other artists and musicians and singers, and I really feel that tradition tonight.  It is very important and I really feel it, so I want to thank the Academy for this incredible honor.

I want to say thank you to so many people who helped me create this role. Everyone at Fox; Cathy Konrad, James Keach for producing the film.  A very special thank you to Jim Mangold who directed the film and also wrote this character who is a real woman who has dignity and honor and fear and courage. And she's a real woman and I really appreciate that.  It was an incredible gift that you gave me, so thank you.  And T Bone Burnett for helping me realize my lifelong dream of being a country music singer; thank you, T Bone. And I want to say thank you to Joaquin Phoenix who just put his heart and soul into this performance.  His commitment and passion for this character and for this performance was just remarkable and I feel so lucky to have gone on this journey with you.

I am so blessed to have my family here tonight.  My mother and my father are here.  And I just want to say thank you so much for everything, for being so proud of me.  It didn't matter if I was making my bed or making a movie, they never hesitated to say how proud they were of me and that means so very much to a child.  So thank you, Mom and Dad.  I want to say thank you to my wonderful husband and my two children—who should be going to bed—and thank you for loving me so much and supporting me.  And I want to say that my grandmother was one of the biggest inspirations in my life.  She taught me how to be a real woman, to have strength and self respect, and to never give those things away.  And those are a lot of qualities I saw in June Carter.  And people used to ask June how she was doing, and she used to say: ""I'm just trying to matter.""  And I know what she means.  You know, I'm just trying to matter and live a good life and make work that means something to somebody. And you have all made me feel that I might have accomplished that tonight. So thank you so much for this honor.
"
2005,Actress in a Supporting Role,The Constant Gardener,Rachel Weisz," RACHEL WEISZ:
Thank you so much to the Academy for this tremendous, tremendous honor.  I share it with others:  Ralph Fiennes, my luminous acting partner; Fernando Meirelles, our director, who is brimming over with such humanity; and our dignified, sensitive producer, Simon Channing Williams; and of course, John le Carré, who wrote this unflinching, angry story.  And he really paid tribute to the people who are willing to risk their own lives to fight injustice, and they're greater men and women than I.  But thank you, thank you so much. Thank you.
"
2005,Costume Design,Memoirs of a Geisha,Colleen Atwood," COLLEEN ATWOOD:
Thank you all very much.  Oh, so many people to thank for making this film. It was an effort that circled the globe and came together here in Los Angeles. Thanks to Sony Pictures, who were brave enough to make a movie about a woman. Fantastic.  Thank you very much to Rob Marshall, my fantastic director, whose vision I only share.  To my amazing daughters, who are with me here tonight. To my team of people who really kept it together for me: Cheryl, Christine and Colleen.  And to the most beautiful cast anybody could ever dream of dressing.  And most of all, to the people of Japan, who gave me so much knowledge and grace.  Thank you.
"
2006,Actress in a Leading Role,The Queen,Helen Mirren," HELEN MIRREN:
I've got my purse in one hand, my earring in the other. Thank you, Academy. Thank you so much. Huge honor. You know my sister told me that all kids love to get gold stars and this is the biggest and the best gold star that I have ever had in my life. I want to share my gold star with my fellow nominees, those brilliant, brilliant actresses who gave such amazing performances this year. I also share my gold star with the filmmakers: with Stephen Frears, with Peter Morgan, with Andy Harries, and all the producers and all the filmmakers and the cast. Thank you.

Now, you know for fifty years and more Elizabeth Windsor has maintained her dignity, her sense of duty and her hairstyle. She's had her feet planted firmly on the ground, her hat on her head, her handbag on her arm and she's weathered many, many storms. And I salute her courage and her consistency and I thank her, because if it wasn't for her, I most, most certainly would not be here. Ladies and gentlemen, I give you The Queen. Thank you. Thank you very much.
"
2006,Actress in a Supporting Role,Dreamgirls,Jennifer Hudson," JENNIFER HUDSON:
Oh my God. I have to just take this moment in. I cannot believe this. Look what God can do. If my grandmother--I didn't think I was going to win but, wow, if my grandmother was here to see me now. She was my biggest inspiration for everything because she was a singer, and she had the passion for it but she never had the chance, and that was the thing that pushed me forward to continue. But I'm so grateful to have my mother here celebrating with me. My boyfriend, my sisters and my brothers back home, and then I've got two of them here, thank you all for being here and supporting me. Also I'd like to thank Bill Condon, our director, who's a genius. Wow. Oh my God. Unbelievable cast. I'd like to thank the Academy. Definitely have to thank God, I guess, again. I can't believe this. Wow, I don't know what to say but I thank you all for helping me keep the faith even when I didn't believe. Thank you and God bless you all. [Music begins] Jennifer Holliday, too!
"
