Year,Category,Film Title,Winner_x,Speech,YouTube,Winner_y
2010,Actress in a Supporting Role,The Fighter,Melissa Leo," MELISSA LEO:
Oh my!  Oh my god!  Oh wow!  Really, really, really, really, really, truly wow.  I know there's a lot of people that said a lotta real, real nice things to me for several months now, but I'm just shakin' in my boots here.  Okay, alright.  Thank you, David O. Russell.  I want to thank the actors:  Mark Wahlberg; Christian Bale – he might've run out for a second; Amy, my sweet sister Adams; Jack; our lovely daughters.  Okay... yeah, I am kind of speechless.  Golly sakes, there's people up there, too [waving to the balcony sections].  When I watched Kate two years ago it looked so fuckin' easy – oops!

Alice Ward, your beautiful family that opened your hearts.  I saw Mick here earlier. Dick, shout out for Nana?  Alright, Dick's not in the room.  Thank you so much, opening your hearts to all of us to make this film.  I thanked David, I'll thank him again.  My family, my beautiful son who's traveling right now in South America and can't join me.  It's okay; I'm okay, Jack.  My mom and my dad, and my brother, and my friends, and my family.  And I wanna thank the very most of all, the Academy of Motion Picture Sciences, their board of governors and all their members, whom many of you are here today. This has been an extraordinary journey in getting to know what the Academy is about, and first and foremost, thank you, Academy.  Because it's about sellin' motion pictures and respecting the work!  Thank you so much!
",,Melissa Leo
2010,Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara," ROBERT STROMBERG:
Why didn't I lose that twenty pounds?  To everyone—Well first of all, the other nominees, Guy, all you guys deserve to be up here.  Everyone at Disney, from Iger and Ross and Bailey, Bruce Hendricks, Art Repola, the great Joe Roth.  The art department led by Stefan Dechant, Christy Wilson, and Todd Cherniawsky.  This great set decorator [putting his arm around O'Hara].  I'm standing here because of three people:  Ken Ralston, the great Richard Zanuck, and the wacky world of Tim Burton.  There he is! [pointing to the audience]

KAREN O'HARA:
Tim, this is yours.  Thank you.

ROBERT STROMBERG:
Meet me with a saw because half of this is yours.  There's just one last bit of art direction for a Tim Burton film [puts a miniature ""Mad Hatter"" wig and hat on his Oscar]... and there it is.  Thank you, Academy.  And to my wife, my kids, and I dedicate this to my dad.  Thank you.
",,Stephenie McMillan
2010,Costume Design,Alice in Wonderland,Colleen Atwood," COLLEEN ATWOOD:
Thank you to the Academy and especially to my fellow nominees who are just so much fun to sit with at the, tonight and have been so supportive.  It's great to be part of such a great group of people.  The story ""Alice in Wonderland"" was described by its publisher in 1865 as a story valued for its rare imagination, priceless humor, and power to transport the reader into a world of pure fantasy; a gift to us all.  The heart of any movie lies with the director and I've been incredibly lucky on this and many films to work with the singular Tim Burton.  Tim's imagination along with the amazing cast – Johnny's incandescent ""Hatter,"" Mia's ""Alice"" for all girls all times, Helena's the fearless, big-headed queen, and our crystalline snowflake princess Anne Hathaway – made my job a delight.  We had the support of a production team headed by Richard Zanuck and Katterli Frauenfelder, supported by Joe Roth, Suzanne and Jen Todd, and Disney, but I couldn't have done it without my team: Christine Cantella and my entire group.  Thank you all very much.
",,Colleen Atwood
2010,Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs," CHARLES FERGUSON:
Forgive me, I must start by pointing out that three years after a horrific financial crisis caused by massive fraud not a single financial executive has gone to jail, and that's wrong.  Thank you.  But this is, this is also, this is about the movies, in fact that's what this is, so thank you all for this profound honor.  You've made us very, very happy.  Thank you all.  Let the record show I'm not wearing jeans.

AUDREY MARRS:
Having only made two films I still feel that Charles and I are newcomers to this community, but from the beginning we've been made to feel incredibly welcome and supported for which I'm immensely grateful.  Thank you so much to the Academy, and to Sony Classics' Michael and Tom, and much love and gratitude to my family.  Thank you so much.
",,Audrey Marrs
2010,Documentary (Short Subject),Strangers No More,Karen Goodman and Kirk Simon," KAREN GOODMAN:
Wow, what a great year for docs.  Thank you most of all to the exceptional immigrant and refugee children from forty-eight countries at Tel Aviv's remarkable Bialik-Rogozin School.  You've shown us that through education, understanding and tolerance, peace really is possible.

KIRK SIMON:
Love and gratitude to our visionary executive producer, Lin Arison; HBO's finest, Sheila Nevins; our co-producer and editor, Nancy Baker; cinematographer Buddy Squires; the courageous principal, Karen Tal; the children who opened their hearts to us; and the precious Oliver and Allegra Simon.  Thank you.
",,Karen Goodman
2010,Foreign Language Film,In a Better World,Denmark (accepted by director Susanne Bier)," SUSANNE BIER:
This is a real Oscar.  Mor og far... Alice and Gabriel*.  Thank you so much, the Academy.  What an honor.  I am so truly honored and grateful and happy, thank you very much.   I really need to congratulate my fellow nominees whose movies were amazing.  And I really want to thank Tom Bernard and Michael Barker at Sony Classics for believing so strongly ""In a Better World.""  All my, all my creative partners, whether they are in this room or in Denmark or Sweden, this one belongs to all of you as much as it belongs to me.  Thank you very much.
",,Susanne Bier
2011,Actress in a Leading Role,The Iron Lady,Meryl Streep," MERYL STREEP:
Oh my god. Oh, c'mon! Oh! Alright. Thank you so much. Thank you, thank you. I -- when they called my name I had this feeling I could hear half of America going, ""Oh no! Oh, c'mon why? Her? Again?"" You know? But, whatever. [Laughs]

First I'm going to thank Don, because when you thank your husband at the end of the speech they play him out with the music, and I want him to know that everything I value most in our lives you've given me. And now secondly, my other partner. Thirty-seven years ago, my first play in New York City, I met the great hairstylist and makeup artist Roy Helland. And we worked together pretty continuously since the day we clapped eyes on each other. His first film with me was ""Sophie's Choice,"" and all the way up to tonight when he won for his beautiful work in ""The Iron Lady"" thirty years later. Every single movie in between. And I just want to thank Roy, but also I want to thank -- because I really understand I'll never be up here again. I really want to thank all my colleagues, all my friends. I look out here and, you know, I see my life before my eyes: my old friends, my new friends. And really, this is such a great honor, but the thing that counts the most with me is the friendships and the love and the sheer joy we have shared making movies together. My friends, thank you, all of you, departed and here, for this, you know, inexplicably wonderful career. Thank you so much. Thank you.
",,Meryl Streep
2011,Actress in a Supporting Role,The Help,Octavia Spencer," OCTAVIA SPENCER:
Oh, thank you. Thank you, Academy, for putting me with the hottest guy in the room. I have to thank my families. My family in Alabama. The state of Alabama. My L.A. family, watching at Steven's* [unintelligible]. My ""Help"" family. Tate…Tate, Brunson, Kathryn, Allison Janney, thank you for being in my life. I share this with everybody. Thank you, Steven Spielberg, for changing my life. Thank you, Stacey Snider, for changing my life. Please wrap up….I'm wrapping up. I'm sorry, I'm freakin' out. Thank you, world. Oh god, and thank you to WME and Viewpoint L.A. I'm sorry guys. I love you. Thank you. I'm sorry.
",,Octavia Spencer
2011,Art Direction,Hugo,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo," DANTE FERRETTI:
Thank you to the Academy for this prestigious award. A great thank you goes to the producers, Graham King and Tim Headington, and to all my art department. But the most of all, my very special thank you to an exceptional director who guide us though this wonderful journey: Martin Scorsese. Thank you, thank you, thank you very much. Grazie, Martin.

FRANCESCA LO SCHIAVO:
This is for Martin and for Italy.
",,Francesca Lo Schiavo
2011,Documentary (Short Subject),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy," DANIEL JUNGE:
Well, it's more important that the Pakistani on the stage speak instead of me, but I just quickly want to simply thank HBO, Sheila Nevins, Lisa Heller, for making this film possible, my wife Erin, and our editor Davis. But please, please, Sharmeen, speak.

SHARMEEN OBAID-CHINOY:
Daniel and I want to dedicate this award to all the heroes working on the ground in Pakistan, including Dr. Mohammad Jawad, who's here with us today, the plastic surgeon working on rehabilitating all these women.  Rukhsana and Zakia, who are our main subjects of the film, whose resilience and bravery in the face of such adversity is admirable. And to all the women in Pakistan who are working for change, don't give up on your dreams. This is for you.
",,Sharmeen Obaid-Chinoy
2011,Short Film (Live Action),The Shore,Terry George and Oorlagh George," TERRY GEORGE:
Thanks. This is my daughter, the producer. I want to thank the Academy; now I don't have to wait for her wedding to tell the world how brilliant she is. Our little film was inspired by the people of Northern Ireland, Protestant and Catholic, who after thirty years of war, sat down, negotiated a peace, and proved to the world that the Irish are great talkers. I want to dedicate this to them. And thank you again. Thank you very much.

OORLAGH GEORGE:
Mum, this is for you!
",,Oorlagh George
2011,Jean Hersholt Humanitarian Award,None,Oprah Winfrey," OPRAH WINFREY:
I didn't prepare a speech because I just wanted to feel whatever this is. Because Maria is so correct, it's very difficult for me to open myself to receive what people have to offer. And so tonight I came prepared to be open, and I would like to thank the Board of Governors for the opportunity to receive the love, and the Oscar.

I never imagined myself receiving an Oscar, certainly not for doing what I believe is a part of my calling, is a part of my being. It's a part of why I am here. And what I know for sure is the only reason I am here is because Quincy Jones was in a hotel in Chicago in 1985, and was taking a shower, and was there for a lawsuit, that somebody was suing Michael Jackson saying that they were the girl of the song, or whatever. And he saw me on ""A.M. Chicago"" and said, ""I think that's Sofia."" So I would like to thank Quincy Jones, who is in Dubai right now.

But Quincy Jones was a part of a divine manifestation for me. Those of you, anybody here who's ever watched ""The Oprah Show"" has heard me tell the story of how I first watched, first read The New York Times review on a Sunday about ""The Color Purple."" I read the review, because the book review is the first thing I ever look at on The New York Times. And Stedman and I to this day, it's like, ""You want the book review?"" I go, ""You read the front section. I'll read the book review first."" And I read the book review of ""The Color Purple."" And was in my pajamas, put on my coat, in Baltimore, and went to the bookstore and got the book. And from that moment became, literally, drawn to, in some kind of mystical way, to that story. Mainly because the character... The first line of the book is, ""Dear God, I'm fourteen years old..."" And I had lived that life and couldn't imagine that someone was able to put into words what I had already experienced.

And so began this journey that I was able to really understand that God's hand, or power greater than myself, ""the forces,"" as Sidney Poitier calls them, were engaged in leading my life to a plane and a level that I had not even imagined. But I released myself to those forces, and literally said inside myself, ""Thy will be done."" And as a part of that journey, to be here tonight... Maria touched on it but it is really -- Stedman and I talk about this all the time. It's unimaginable if you are not a black, former colored girl, born in Mississippi in 1954, it's impossible for you to even know what this journey has meant. I know Larry Gordon, Mississippi Jew [laughs], almost as rare as I am [laughs], can begin to understand what that means, to be born in 1954 in Mississippi.

When I saw ""The Help,"" and first heard that there was gonna be a movie called ""The Help,"" and first read the book, ""The Help,"" I thought that is my story. My grandmother was a maid. Her mother was a maid. The mother before her was a slave. My mother was a maid. My grandmother's greatest dream for me was that I would grow up in a family and have a career where... She used to say, ""I hope you get some good white folks. I hope you get some good white folks like I have. I have good white folks."" And the only picture I have of my grandmother is of her holding a white child in her maid's uniform. So, the journey from Kosciusko, Mississippi, where nobody ever even imagined it possible that you could be anything other than a maid who had some good white folks, who would give you clothes and would let you take food home on the holidays. It's unimaginable that I would be standing before you, voted by the Board of Governors... It's unimaginable. It's unimaginable. It's unimaginable. It is unimaginable! And so when I say thank you, the thank you comes from a place deeper than even I know, Sharon [Stone]. Even deeper than I know. Because it's not just from me, it's from everybody who made me possible. It's from every shoulder I ever stood on, every bridge I ever crossed, every story that's ever told, every story that ever imagined this day to be possible.

I thank you for this award. And I will... What this means for me is, I woke up this morning, I said, ""What is Oscar? What is a... Oscar...?"" You know, I grew up wanting to be an actress and my father, being a barber and coming from the culture that he came from, said, ""No daughter of mine's going to be laying on some casting couch."" That was his idea of what being an actress meant. And so when the opportunity showed itself to me, to be a part of ""The Color Purple,"" it really is, was divine intervention, just to be a part of being able to share that story. I knew that something special, magical, a door had opened to me. And after that door came ""The Oprah Winfrey Show"" and many other doors. But a door opened to me through the magic and majesty of film. The ability to tell stories in such a way that you connect to the heart-space of people, and you connect to the place where people really live, and not just live but where their souls abide, that is what great films do. And to this day, ""The Color Purple"" experience is one of the greatest experiences of my life.

And yes, I'd like to do more films, but to receive the Jean Hersholt Humanitarian Award means more to me than any film, any acclaim, even an Oscar. Because what it says is that you all get it. The Board of Governors, you get it. You get that what I've been trying to do and what I've been trying to say all these years is that every single person, Ayanna, and all of you and every person I've spoken to in over fifty thousand interviews of ""The Oprah Winfrey Show,"" every single person who incarnates here to the planet matters. Your life matters. You matter. What you do matters. The fact that you are here, that you are born, that your presence here on earth means something. That's what I've been trying to say through all of my work, be it film, be it ""The Oprah Winfrey Show,"" be it the magazine, it is that we all matter. And what I really, really, really, really know for sure, is that this award to me represents all of you, sitting in a room -- I don't know how this happens. The governors, I don't know who you are. But when I got the call from Tom [Sherak] I was literally on a hike in Hawaii, and I get the call. The Academy has called! Security comes for me and says, ""You must come down from the mountain now! Stop the hike because Tom from the Academy is on the phone."" And then Larry Gordon is saying, ""Answer the phone! Answer the phone!"" And I'm like, whaaat...? Okay! What this really means is that you all understand that what I've been trying to do and what I've tried to say all these years, is that all us can make a difference through the life that we live.

And when you understand, as I do, that this to me, I'm gonna allow this Oscar... Like I've interviewed everybody over the years and say, ""Where do you keep your Oscar?"" And people are always so nonchalant about it and they say: ""Oh my, I keep it in my bathroom."" ""I don't know where mine is."" ""My sister has it."" Well my new sister, my sister who I just discovered last year, this time last year, is here. Pat is here. I will say she will not have it; I will have it! And it will be on, I will keep it on my desk in front of me to remind me that you have voted for me. You have voted for what I believe is the essence of why we're all here. We're all here to help each other. We're all here to use our lives in service to one another. And nobody who has ever, ever done any kind of work... I mean I run a girls school and those girls are gonna be graduating from college. The first in their families to ever graduate from college. The first in their families to ever graduate high school. And those girls are coming to the United States and they're going to Wellesley and they're going to Brown and they're going to Tufts and they're going to all the great universities. And I will tell you that anybody who's ever done that, done any kind of work where you are hands on, where you're up on the phone and you're on at four o'clock in the morning and two in the morning and whatever, you're not doing that because you think you're gonna get an Oscar one day. You're doing it because you believe in the power of every human being who has come to this planet. And you know that these are all bodies, but inside the bodies there's a soul and a spirit and a power greater than we know. And for me this Oscar will represent love from all of you. I thank you for your vote of love and I will use it to increase the open space in my heart to continue to do the great and good work that we've all come to do and serve. Thank you so much.
",,Oprah Winfrey
2012,Actress in a Leading Role,Silver Linings Playbook,Jennifer Lawrence," JENNIFER LAWRENCE:
Thank you. You guys are just standing up because you feel bad that I fell and that's really embarrassing, but thank you. This is nuts.

Thank you to the Academy and thank you to the women this year. You were so magnificent and so inspiring, and not just those of you in my category. And it has been so amazing getting to know you. And you've been so nice and you've made this experience unforgettable. And thank you to the best producing team: Bruce, Donna, Jon. And to my team at CAA and I/D PR. And Bradley, and our entire cast – Chris, Jacki, Bob – and our crew. And my family. Happy birthday, Emmanuelle. Thank you so much. Thanks.
",,Jennifer Lawrence
2012,Actress in a Supporting Role,Les Misérables,Anne Hathaway," ANNE HATHAWAY:
It came true. Thank you so much to the Academy for this and for nominating me with Helen Hunt, Jacki Weaver, Amy Adams and Sally Field. I look up to you all so much and it's just been such an honor. Thank you.

There are so many people whose generosity and support is the reason that I'm standing here right now. I must thank Hugh Jackman. Hugh, you're the best. The cast, the crew, especially Simon Hayes and the sound wizards. Congratulations on tonight, you guys. The creative team behind ""Les Misérables"": Cameron Mackintosh, Tom Hooper; from Working Title: Eric Fellner, Tim Bevan, Debra Hayward; and from Universal: Ron Meyer, Donna Langley and Adam Fogelson. Thank you, guys, for your faith and thank you for this opportunity.

I have to thank my team, led by the lionhearted Suzan Bymel. Josh Lieberman, Mick Sullivan, Maha Dakhil… Please say I just said everyone. Josh Lieberman again, just to be safe. Stephen Huvane, Jason Sloane and special contributions by Frank Selvaggi and Kerry Wagner. I want to thank my friends, especially the ones who are cheering from Crosby Street tonight. My family, who I'm so blessed to be a part of. My husband. By far and away, the greatest moment of my life is the one when you walked into it. I love you so much.

And thank you for this. Here's hoping that someday in the not too distant future the misfortunes of ""Fantine"" will only be found in stories and nevermore in real life. Thank you.
",,Anne Hathaway
2012,Animated Feature Film,Brave,Mark Andrews and Brenda Chapman," MARK ANDREWS:
I just happened to be wearing the kilt; I didn't plan any of this. I'd like to thank the Academy for this incredible honor. Making a movie has its own story. I'd like to thank John Lasseter, Ed Catmull, Jim Morris, Andrew Stanton, Pete Docter, Brenda Chapman, Katherine Sarafian for making the making of ""Brave"" an exceptional story. My wife and my four kids: Maeve, Jack, Paden and Ford.

BRENDA CHAPMAN:
I'd like to give a shout-out to my wonderful, strong, beautiful daughter Emma, who inspired ""Brave"" into being. So thank you to her and my husband, and our incredible cast and crew. Thank you.
",,Brenda Chapman
2012,Costume Design,Anna Karenina,Jacqueline Durran," JACQUELINE DURRAN:
Thank you to the Academy. This is absolutely overwhelming. And I'd like to accept it on behalf of the great team that worked with me on ""Anna Karenina""; a wonderful director, Joe Wright; fantastic producers at Working Title. And my children, for bearing with me. They're completely oblivious to this; they're fast asleep in England. Thank you very much.
",,Jacqueline Durran
2012,Documentary (Short Subject),Inocente,Sean Fine and Andrea Nix Fine (accompanied on stage by editor Jeff Consiglio and film subject Inocente)," ANDREA NIX FINE:
Thank you so much for this. We just want to thank, quickly, our amazing producer, Albie Hecht, who went the distance with us. And Susan and Yael and Ryan, and Jeff Consiglio, our incredible editor who's with us on all our, like, artistic exploits.

SEAN FINE:
And most of all, we want to thank this young lady who was homeless just a year ago. And now she's standing in front of all of you. And she's an artist and all of you are artists, and we feel like we need to start supporting the arts. They're dying in our communities. And all of us artists, we need to stand up and help girls like her be seen and heard. It's so important. Thank you.
",,Andrea Nix Fine
2012,Makeup and Hairstyling,Les Misérables,Lisa Westcott and Julie Dartnell," LISA WESTCOTT:
Whoa. Thank you so much, the Academy. I don't know, it's quite overwhelming. I must pay a huge tribute to the team who worked so incredibly hard and were so talented, and I feel that I only own a little bit of this and the rest goes to them. Thank you very much.

JULIE DARTNELL:
Thank you very much. It's an incredible honor. Thank you so much. And I just want to give love to my family: my mum, my dad, Tom, Holly and Dave. Thank you.
",,"Lisa Westcott
Julie Dartnell"
2012,Music (Original Song),Skyfall,Music and Lyric by Adele Adkins and Paul Epworth," ADELE ADKINS:
Thank you so much. Thank you. This is amazing. I'd just like to thank Barbara Broccoli and Michael Wilson at Eon Productions. Sony Pictures, MGM, Paul Epworth, who –  oh God... for believing in me all the time. And my man; I love you, baby.

PAUL EPWORTH:
Thanks very much. I can't really believe I'm up here to receive this. Got to thank the Academy, of course. Alison Hook at EMI, Sam Mendes, Barbara Broccoli, Michael Wilson, Liv Olach*, Neale, Rich and Laura, Empire... who else? Jonathan Rose. I thank my wife Danielle, my daughter Vivienne… I'd like to thank Joe and Matt, who worked on this with us. They spent hours and hours, late nights in the studio with us to make this piece of music. And most of all I'd like to thank Adele for being the best person I've ever worked with. She's absolutely amazing.

ADELE ADKINS:
You're all amazing.
",,Adele
2012,Sound Editing,Skyfall,Per Hallberg and Karen Baker Landers," PER HALLBERG:
Well, thank you, the Academy. This is so cool. We always wished we could work on a Bond movie and we never quite thought that was gonna happen; but it did. And we just want to thank Michael and Barbara for inviting us to the family. Then we got Sam Mendes as the director and that just made it even sweeter. We got to mix for our friends Scott and Greg, and now this.

KAREN BAKER LANDERS:
And I just want to say that all the other nominees in this category, we're all storytellers; we just tell our story through sound. And this is a huge honor – it's telling me to wrap it up now. I want to thank Peter Staubli, Dino Dimuro, Chris Assells, Dan Hegeman.

PER HALLBERG:
Chris Hogan, Stuver, and our guys Tony and Phil.

KAREN BAKER LANDERS:
Chris Jargo.

PER HALLBERG:
Chris Jargo, Craig Jaeger [music begins to play]. Thank you so much.

KAREN BAKER LANDERS:
Thank you.
",,Karen Baker Landers	
2012,Sound Editing,Zero Dark Thirty,Paul N.J. Ottosson," PAUL N.J. OTTOSSON:
To the Academy, thank you. This is such an honor. Kathryn, what a fantastic movie. And my crew. I was fortunate to be here a few years ago for a movie called ""Hurt Locker"" and I was awarded two of these. I woke up in the morning, seven o'clock, where our son has said, ""One for mommy, one for daddy."" He looked at me and said, ""Where's mine?"" And Theo, I love you. Karen, I love you. Mom watching at home, I love you. My dad, with God now, I love you. I miss you. Good night. Thank you.
",,Karen Baker Landers	
2013,Actress in a Leading Role,Blue Jasmine,Cate Blanchett," CATE BLANCHETT:
Sit down; you're too old to be standing. Thank you, Mr. Day-Lewis. From you it exacerbates this honor to it and it blows it right out of the ballpark. Thank you so much to the Academy. As random and as subjective as this award is, it means a great deal in a year of extraordinary – yet again – extraordinary performances by women. Amy Adams, everything you do, but your performance in ""American Hustle"" blew my mind. And Meryl, what can I say? Sandra, I could watch that performance to the end of time, and I sort of felt like I had. Julia, #suckit. You know what I mean? And Judi Dench, I mean what a career. She's not here tonight because at the age of 79 her film was so successful that she's in India doing a sequel. I mean what a career that is, if I could hope.

And me, I'm here accepting an award in an extraordinary screenplay by Woody Allen. Thank you so much, Woody, for casting me. I truly appreciate it. I'm so very proud that ""Blue Jasmine"" stayed in the cinemas for as long as it did. And thank you to Sony Classics, to Michael and Tom, for their extraordinary support, for so bravely and intelligently distributing the film. And to the audiences who went to see it, and perhaps those of us in the industry who are still foolishly clinging to the idea that female films with women at the center are niche experiences. They are not. Audiences want to see them and, in fact, they earn money. So... The world is round, people!

Thank you to my mum, to my sister, to my brother, to my three glorious sons; I would not be standing here without you. To my husband Andrew, you are a legend. Thank you to my agent Hylda Queally; you're behind the pillar somewhere up there. You are a goddess. To my agent in Australia, Robyn Gardiner, I love you so very much. To my publicist Lisa Kasteler. To the sublime Sally Hawkins and to the extraordinary cast of ""Blue Jasmine,"" I don't know how to do this without other actors and this I share with you. To the hair and makeup people who sweated me up and tried to make me look attractive, thank you for the attempt. To Carla Meyer, for getting Sally and I together and for incredible support. To Helen Robin. To everyone involved in ""Blue Jasmine,"" I thank you so much.

And finally, I would like to thank every single member of the Sydney Theatre Company, one of the great theater companies in the world. For me working on ""Blue Jasmine,"" it was a real synthesis of my work in the theater and on film. And not only working with you for the last six years has been the most enormous privilege of my career, but it's made me a better actress. There is so much talent in Australia, and Michael Wilkinson and CM and I are just tonight's tip of the iceberg. Thank you so much. Thank you.
",,Cate Blanchett
2013,Actress in a Supporting Role,12 Years a Slave,Lupita Nyong'o," LUPITA NYONG'O:
Yes! Thank you to the Academy for this incredible recognition. It doesn't escape me for one moment that so much joy in my life is thanks to so much pain in someone else's. And so I want to salute the spirit of ""Patsey"" for her guidance. And for Solomon, thank you for telling her story and your own.

Steve McQueen, you charge everything you fashion with a breath of your own spirit. Thank you so much for putting me in this position; it has been the joy of my life. I'm certain that the dead are standing about you and watching and they are grateful and so am I. Chiwetel, thank you for your fearlessness and how deeply you went into telling Solomon's story. Michael Fassbender, thank you so much; you were my rock. Alfre and Sarah, it was a thrill to work with you. Joe Walker, the invisible performer in the editing room, thank you. Sean Bobbitt, Kalaadevi, Adruitha, Patty Norris, thank you, thank you, thank you. I could not be here without your work.

I want to thank my family for your training, and the Yale School of Drama as well for your training. My friends, the Wilsons, this one's for you. My brother Junior, sitting by my side, thank you so much. You are my best friend. And Ben, my other best friend, my chosen family. When I look down at this golden statue, may it remind me and every little child that no matter where you're from your dreams are valid. Thank you.
",,Lupita Nyong'o
2013,Animated Feature Film,Frozen,"Chris Buck, Jennifer Lee and Peter Del Vecho"," JENNIFER LEE:
We're gonna do this together, because we're collaborative, but we'll be fast.

PETER DEL VECHO:
First, we want to thank each and every person at Walt Disney Animation Studios, our family. We are so proud of you for making the film as magical as it is. And we're bringing this home to you.

JENNIFER LEE:
And for our personal families and dearest friends, thank you so much for supporting us through this hard work and for really being our inspiration.

CHRIS BUCK:
And finally, we'd like to dedicate this to our guardian angel; that's my son, Ryder Buck. Thank you, Ryder.

JENNIFER LEE:
Thank you.
",https://www.youtube.com/watch?v=dhraWabOBHk,Jennifer Lee
2013,Costume Design,The Great Gatsby,Catherine Martin," CATHERINE MARTIN:
I do have a few words tucked into my bra. It's a very Australian thing to do. It's where you put your tissues. I'll be very short. It's not a long list. Of course, I'd like to thank the Academy but mainly I'd like to thank my incredible team. I have a group of ladies who are sewing for me right now in Sydney on a show we're making of Baz's first film, a musical. They're my golden girls. They've been working with me for 25 years. They bring me such incredible luck. They'll all be watching the TV right now and they know who they are. There are two people I have to thank very, very specially: Kerry Thompson and Silvana Azzi Heras. And, of course, my incomparable husband Baz Luhrmann. He makes it all possible. He dreams the dream.
",,Catherine Martin
2013,Documentary (Feature),20 Feet from Stardom,"Morgan Neville, Gil Friesen and Caitrin Rogers (Janet Friesen accepted for her husband; accompanied on stage by film subject Darlene Love)"," MORGAN NEVILLE:
Thank you. I first want to thank, along with my producer Cait, our other producer, Gil Friesen. This was his idea and it was his baby. And when I first met with him I remember he said, ""I want to win an Oscar."" I remember thinking, you're crazy. That will never happen. Gil passed away just weeks before we premiered the film at Sundance, and tonight I know he's celebrating with us along with his wife Janet and his son Theo. I just want to thank my backup singers: my wife Jennette, my kids, Sadie and Cameron. I want to thank our amazing distributors, RADiUS and the Weinstein Company. And lastly, these incredible singers, like Miss Darlene Love.

DARLENE LOVE:
Lord God, I praise you and I am so happy to be here representing the ladies of ""20 Feet from Stardom."" [Sings:] ""I sing because I'm happy. I sing because I'm free. 'Cause His eye is on the sparrow and I know He watches me."" Alton, I love you.
",,Caitrin Rogers
2013,Makeup and Hairstyling,Dallas Buyers Club,Adruitha Lee and Robin Mathews," ROBIN MATHEWS:
Thank you so much to the Academy. My goodness, you all fought for the hair and makeup of this film. You fought for it and even fulfilled every dream we've ever had. To our friends and family, thank you. To Matthew McConaughey and Jared Leto, thank you so much for letting us transform and torture you through a million, bazillion hair and makeup changes a day, and for your support with our makeup. Jean-Marc Vallée, you are a visionary. You are so amazing. And thank you for choosing the two of us to take this crazy journey with you. And finally for all the victims of AIDS, we are so lucky and blessed to be able to bring your story to the forefront of the younger generation today that doesn't understand AIDS '85. We're very blessed. Thank you.

ADRUITHA LEE:
Thank you. Hello, Alex and Nathan.
",,"Adruitha Lee
Robin Mathews"
2013,Music (Original Song),Frozen,Music and Lyric by Kristen Anderson-Lopez and Robert Lopez," ROBERT LOPEZ:
Oh, wow. Thank you, Academy.

KRISTEN ANDERSON-LOPEZ:
And to our fellow nominees, you are all rock stars.

BOTH:
Literally.

KRISTEN ANDERSON-LOPEZ:
We have so many people to thank. Luckily, everybody's name rhymes.

(RL:) Idina Menzel, (KAL:) Kristen Bell.
(RL:) Jennifer Lee, (KAL:) Peter Del V.
(RL:) Chris Buck, (KAL:) Chris Beck.
(RL:) John Lasseter. (Both, singing:) Happy Oscars to you. Let's do ""Frozen 2.""
(RL:) Tom MacDougall, (KAL:) Chris Montan.
(RL:) Oremus, (KAL:) Metzger, (RL:) Besterman.
(KAL:) The Anderson (RL:) and the Lopez Clan.
(KAL:) Jon Groff, (RL:) Josh Gad, (Both:) Mom and Dad.
(RL:) John Buzzetti and our team back East, (KAL:) and Kate*, Brooklyn! And last but not least, (RL:) our girls.

KRISTEN ANDERSON-LOPEZ:
Katie and Annie, this song is inspired by our love for you and the hope that you never let fear or shame keep you from celebrating the unique people that you are. Thank you, we love you.

ROBERT LOPEZ:
We love you. Thank you.
",https://www.youtube.com/watch?v=gbeSPgiVXGU,Kristen Anderson-Lopez 
