Year,Category,Winner,Speech
2008,Cinematography,Anthony Dod Mantle," ANTHONY DOD MANTLE:
I found that very inspiring, Natalie and Ben.  If I could use as few words on a set on a film like ""Slumdog"" and get away with it, I wish I could.  I wish I could.  It's fantastic.

I could thank thousands of people.  I can't do it.  I have to, of course, thank the Academy.  I'm very honored with this beautiful thing.  Everybody who has worked with me on this film--all over this room, especially over in this little corner here, in the blue corner.  And all the people that worked on all the films I've done for the last twenty years, they're with me tonight.  I'll try and thank you every day from now on.  That's my new policy.  I'll try and thank people more on set.

I want to thank, of course, the Academy for opening this door.  And there's something that goes hand in hand with that, that's my wife.  Because she keeps the door open when I come back.  She doesn't slam it.  And I want to thank her, 'cause she's amazing.  Sanne, you're a lovely lady.  She's a mother of two boys, August and Clements*, who are probably watching tonight.  Now, get to bed!  You're not meant to be up on the other side of the ocean.  I want to thank my ma and pa, of course, my brother John and my sister Annie.  Danny, it starts with you, but there are thousands of people with you and under you. They're all with me tonight.  I wanna just thank you so much.  Goodbye.
"
2008,Film Editing,Chris Dickens," CHRIS DICKENS:
Thank you so much for this.  Thank you, everyone who voted for me.  This is incredible.  I just want to say I had a fantastic time working on this film. It was, um, I really didn't want it to end.  I had a wonderful time in India, and so I'd like to thank my crew in India firstly.  That was Vivek, Udayan, Anuradha.  They're all fantastic.  And also in England, Tina and Tom, who worked really hard in the editing with us, to get the film finished.  And also my family, my sisters Sally, Ally*, Lizzy*, my parents, my wife Clio who sort of put up with all the hours I was working, disappearing.  But especially to Danny, who's over there, Danny and Christian and Simon and Anthony for just producing such great material, you know, fantastic stuff to work with.  I thank you and, yeah, you really inspired me.  I'm really proud.  Thank you.
"
2008,Visual Effects,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron"," ERIC BARBA:
Oh my god.  On behalf of myself, Steve Preeg, Burt Dalton and Craig Barron, I'd like to thank the Academy for this incredible honor.  I'd also like to thank Edson Williams and his team at Lola Visual Effects and Nathan McGuinness and his team at Asylum as well as all the other visual effects teams that worked so hard on this film.  I'd like to thank our amazing team at Digital Domain, my mentor Ed Ulbrich, my wonderful producer Lisa Beroud, the woman who is my biggest supporter, my wife Roma.  Kathleen Kennedy, Frank Marshall and Ceán Chaffin for trusting we could actually pull this off.  Brad Pitt for an amazing performance.  And of course David Fincher for giving us all the opportunity to work on this film.  To my kids, Cole and Nicolette, I'd just like to say:  Work hard, do good work and never give up.  Thank you.
"
2008,Writing (Adapted Screenplay),Screenplay by Simon Beaufoy," SIMON BEAUFOY:
Thank you very much indeed.  There are certain places in the universe you never imagine standing.  For me it's the moon, the South Pole, the Miss World podium, and here.  It's a tremendous honor, so thank you to the Academy.

I certainly wouldn't be standing here tonight without Vikas Swarup, who wrote the book without which none of ""Slumdog"" would ever have happened.  So thank you, Vikas.  Tessa Ross from Film4, who shoved the manuscript into my hand and said, ""This is yours, you must go to India.""  Thank you.  My parents who've always supported me throughout everything.  My wife Jane, for whom repressed English writers have to write love stories, 'cause they can't really say what they mean.  Susan Landau and Charlotte Knight, both my manager and my agent. And of course the wonderful Dev, the wonderful Latika, and the cast and crew of the film who have taught me so much about India and so much about writing, and they've all sort of changed my life.  And finally, thank you so much to Danny and Christian, the other two musketeers.  Thank you very much.
"
2009,Film Editing,Bob Murawski and Chris Innis," BOB MURAWSKI:
Wow, this is definitely the night to be here: a tribute to horror films, and Roger Corman.  It's unbelievable.  And my wife.

CHRIS INNIS:
Thanks to my co-editor, Bob Murawski, my amazing husband.  And to Sam Raimi, who gave us both our first cutting jobs.  To Kathryn Bigelow, Mark Boal, all our amazing crew, our assistants, Sean Valla, Rupert Lloyd.

BOB MURAWSKI:
My mom, who's here in the audience, and Chris's sister.

CHRIS INNIS:
Everybody.  We love you guys.  And thanks for...

BOB MURAWSKI:
And thank you to the Academy for giving this award to a movie that was made without compromise.  We didn't have any preview screenings or focus groups or studio notes.  Everybody made the movie we wanted to make and it turned out great, so I'm glad everybody liked it.

BOTH:
Thank you.
"
2009,Music (Original Song),Music and Lyric by Ryan Bingham and T Bone Burnett," RYAN BINGHAM:
Thank you so much.  I'd like to thank my wife Anna.  I love you more than rainbows, baby.  My uncle Clay, my band, Jack Whigham.  Scott Cooper, the cast of  ""Crazy Heart"":  Jeff and Maggie and Colin and Mr. Bob.  Everyone at Fox Searchlight.  And Mr. T Bone Burnett and Stephen Bruton.  Thank you all so much.  Thank you.

T BONE BURNETT:
Thank you.
"
2009,Sound Editing,Paul N.J. Ottosson," PAUL N.J. OTTOSSON:
This is such a great honor to be here.  Twenty-three years ago, other side of the world, I sold everything I had to come and be part of what you guys do over here.  It's such a great honor.  There's so many people have faith in me and gave me a shot, maybe when, I don't know that I earned it yet.  And thank you to all those people.  My wife and my son, for always loving me no matter what.  And Kathryn, what an incredible movie.  Thank you for everything and your friendship.  All of you, the Academy, thank you so much.
"
2009,Honorary Award,To Roger Corman for his rich engendering of films and filmmakers.," ROGER CORMAN:
Needless to say I'm delighted to accept this Oscar personally, but I'd also like to accept it on behalf of my wife Julie, who's been my producing partner for many years, and also on behalf of those who've worked in the field in which I've spent most of my career, the independent filmmakers.

We all work in what I think is the only true modern art form.  All other arts had their origins in antiquity and are therefore, to a certain extent, static. Motion pictures encompass movement, which is one of the key characteristics of our day, and for that reason they are modern.  There's another reason as well. And the reason is that traditional art has been done, let us say, by composers, writers, poets, painters, who could create their art individually. Motion pictures require, the filmmaker requires a cast and a crew, and they must be paid.  As a result our art is somewhat compromised.  We're compromised between art and business and I think that represents something of the compromised world in which we live.

I think that to succeed in this world you have to take chances.  Many of my friends and compatriots and people who've started with me are here tonight, and they've all succeeded.  Some of them succeeded to an extraordinary degree. And I believe they've succeeded because they had the courage to take chances, to gamble.  But they gambled because they knew the odds were with them; they knew they had the ability to create what they wanted to make.  It's very easy for a major studio or somebody else to repeat their successes, to spend vast amounts of money on remakes, on special effects-driven tentpole franchise films.  But I believe the finest films being done today are done by the original, innovative filmmakers who have the courage to take a chance and to gamble.  So I say to you: Keep gambling, keep taking chances.  Thank you.
"
2010,Animated Feature Film,Lee Unkrich," LEE UNKRICH:
Oh boy.  I can't believe I'm actually saying this, but thank you to the Academy.  I wouldn't be standing here if it weren't for the vision of three incredible guys:  John Lasseter, Ed Catmull and Steve Jobs, the founders of Pixar Animation Studios which, by the way, is the most awesome place on the planet to make movies!  To my producer Darla Anderson, screenwriter Michael Arndt, my cast and crew, everyone at Disney and Pixar, every single person who had absolutely anything to do with making ""Toy Story 3"" and getting it out into the world, I share this with you.  To my grandmother, who always insisted that she'd see me up here someday.  To my parents, my wife Laura, my kids, Hannah, Alice and Max, I love you all so much.  And finally, thank you to audiences all over the world who came out in historic numbers and embraced a movie about talking toys that hopefully had something very human to say. Thank you.  Thank you!  Thank you!
"
2010,Art Direction,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara," ROBERT STROMBERG:
Why didn't I lose that twenty pounds?  To everyone—Well first of all, the other nominees, Guy, all you guys deserve to be up here.  Everyone at Disney, from Iger and Ross and Bailey, Bruce Hendricks, Art Repola, the great Joe Roth.  The art department led by Stefan Dechant, Christy Wilson, and Todd Cherniawsky.  This great set decorator [putting his arm around O'Hara].  I'm standing here because of three people:  Ken Ralston, the great Richard Zanuck, and the wacky world of Tim Burton.  There he is! [pointing to the audience]

KAREN O'HARA:
Tim, this is yours.  Thank you.

ROBERT STROMBERG:
Meet me with a saw because half of this is yours.  There's just one last bit of art direction for a Tim Burton film [puts a miniature ""Mad Hatter"" wig and hat on his Oscar]... and there it is.  Thank you, Academy.  And to my wife, my kids, and I dedicate this to my dad.  Thank you.
"
2010,Best Picture,"Iain Canning, Emile Sherman and Gareth Unwin, Producers (accompanied on stage by 14 members of the cast and crew)"," IAIN CANNING:
Wow.  What an incredible, incredible honor.  What an amazing year for film, and to be with those other films in that category is just absolutely incredible.  Tom Hooper, you put so much passion and love into every frame of this film.  Thank you directing the film.  To our acting royalty, Colin, Geoffrey, Helena, thank you so much for saying yes.  To our amazing best of British crew, so amazing to share the stage with you tonight.  And to my parents, and to my boyfriend Ben, you help me every day do what I do.  Thank you.

EMILE SHERMAN:
To have been part of a film that's touched and moved people so much all around the world has been just a huge privilege and we're indebted to everyone standing behind us.  And, you know, our financiers took a huge risk on this film.  It's not an obvious film to back.  To our distribution partners, The Weinstein Company, Harvey and Bob Weinstein, Momentum Pictures and Transmission Films, for your passion and commitment to this film.  The UK Film Council, Aegis Film Fund, Molinare, FilmNation, thank you to all our financiers.  And personally, to my wife Carolyn and my parents, Brian and Gene, for your love and support.   My little boys, Milo, Zack*, and Cy*. Thank you so much.  Thank you.

[Music begins to play.]

GARETH UNWIN:
Oh, I'll be really, really quick.  Sorry.  Just a massive thank you to the UK Film Council for supporting this film and David Seidler for trusting us with his heartfelt story.  Rosie, I love you.  Simon, thank you for supporting me over the years.  But mostly, thank you, Academy, this is a boyhood ambition come true tonight.
"
2010,Short Film (Animated),Shaun Tan and Andrew Ruhemann," SHAUN TAN:
Wow, this is quite surreal.  Our film is about a creature that nobody pays any attention to, so this is wonderfully ironic.  The award really goes to our producer, Sophie Byrne, the true champion of this project for the past ten years, alongside Andrew and our splendid animation team of Leo Baker and Tom Bryant.  The Oscar also goes to John Kassab, Michael Yezerski, Adrian Medhurst, Tim Minchin, Screen Australia, and everybody who's supported us with such generosity and patience.  Many thanks to our families and friends.  To my wife Inari, minä rakastan sinua.  And to Perth and Melbourne, this one's for you, too.

ANDREW RUHEMANN:
Thank you.  Very quick one.  Just say I love my wife, Jennifer Nadel, who's out there, and my business partner and great friend, Jonathan Battsek, and everybody at Passion Pictures.  And this is dedicated to all lost things everywhere.  Thank you.

SHAUN TAN:
Thanks, Academy.
"
2010,Sound Editing,Richard King," RICHARD KING:
I owe this a thousand percent to Chris Nolan.  As artists and craftspeople it's all about the opportunities we get and I just want to thank you, Chris, wherever you are, for making great movies and inviting me along for the ride. I want to thank Lee Smith; Emma Thomas; my sound editing crew, who I share this award with; Lora, Gary, and Ed, who were just here; and all my love to my wife Sue and my son Sam.  Thank you.
"
2010,Visual Effects,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb"," PAUL FRANKLIN:
Well, it feels like that top is still spinning, but I don't really care anymore.  Thank you very much, Chris, Emma, Warner Bros.  Thank you to my producers, Matt Plummer and Mike Chambers.  Thank you to the brilliant visual effects team at Double Negative back in London, and to my amazing wife and our wonderful kids, my mum and dad back in Cheshire, and to the Academy for this.

CHRIS CORBOULD:
I just want to share this with my amazing special effects teams in Los Angeles, Canada, France, Morocco, and my great crew in the UK.  And also to their families for their support, especially my wife Lynne and the kids. Great.  Thank you.
"
2010,Honorary Award,To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.," KEVIN BROWNLOW:
If you've ever wondered what reflected glory looks like, this is it.  On behalf of all those film historians, film preservationists, and film collectors... I hear an intake of breath.  Not so long ago film collectors were endangered in this town by a knock on the door from the FBI.  I hope you have learnt that we were not your enemies.  But my god, your predecessors did a terrible job of preserving the silent era.  Historian David Pierce is about to reveal 73 percent has been destroyed.  Now, that's like a publisher taking Tolstoy, Dickens, Scott Fitzgerald, despulping every copy, and you can't even see the manuscript because they've burnt that as well.  So it's up to us to do our damnedest to find the films that your predecessors destroyed and bring them back into the canon.  An awful lot is being done as you know – the recent find in New Zealand, the recent generosity from Russia – but when I think of some of the titles that are gone it's really heartbreaking.

Now, I was told when I started this business that silent films were a complete waste of time.  They were jerky, flickery, ludicrously badly acted and appallingly photographed.  And I couldn't understand it because I was already a film collector and what I saw in beautiful prints, although sometimes abridged, were... I was struck by the freshness, the vitality, the innovation and the exquisite photography.  Ah, and I really do regret the loss of black and white.  It was a beautiful medium.  It called upon you to do some work, like silent film itself you have to supply the voices and sound effects, and with black and white you supply everything that the film suggested and therefore you become part of the creative process and it means that much more.

Now, film is a collaborative medium and I took it to its extremes.  I think I've worked on practically everything with a partner.  My wife, of course, of forty-one years.  She is wearing tonight jewelry given her by Alice Terry. Match that!  Then there are my partners: Andrew Mollo, twelve years; David Gill, twenty-three years, alas he died in '97; and I'd better not leave out my current producer, Patrick Stanbury; and Christopher Bird, the most recent co-director.

I've had a very fortunate life as you can guess.  And to give you an example: I was very impressed by the feature comedies of Harold Lloyd.  He seemed... If I wanted to convert someone to silent films I just ran them a Lloyd picture. That's all you had to do.  But you could not get hold of them.  He kept such close grasp that we were reduced to two for a long time, and I knew the fellow who had those two but he wouldn't even consider exchanging or selling them. Well, I wrote a fan letter to Harold Lloyd, and I was very disappointed.  He didn't answer.  Celebrities don't, you know.  And I was dozing one Sunday morning and I imagined that I had at last gone to Hollywood, and I was being shown around the Motion Picture Home by D.W. Griffith himself. And he said, ""Over there is a room with a great cameraman.  Over there lives a very fine editor.""  And at the end of the corridor the telephone rang.  And in my head I started tracking forward, as one does, and I dissolved through and my telephone was ringing.  So I went out into the hall and picked it up and a voice said, ""Kevin, you'll never guess who this is.  It's Harold Lloyd."" He invited me to the Dorchester Hotel, and then began a long and extremely fruitful friendship.  I loved him!  Actually, he was so charming he should have been the original of Dale Carnegie's ""How to Win Friends and Influence People.""

And I became fascinated by what these people did.  They were the most extraordinary people I've ever met in my life, when I finally got to America and met them en masse.  It was not just the stars, but the cameramen, the art directors and even the title writers.  I remember one of them, Monty Brice, told me that his first title writing job he was literally taken off the golf course.  Somebody had fallen ill; none of the title writers were getting anywhere near a good joke.  And so he came in in his rather loud knickerbockers, and these tough ex-newspapermen all looked at him and said, ""That's your title writing outfit, huh?""  And he said... he had no idea.  What he had to produce was a title which suggested that Al St. John had left for the city, had failed in everything he'd done and was returning.  He said to me, ""God send me a flash.  I said, 'How 'bout this boys:  Al left home to set the world on fire but had to come back for more matches.'""

Now, it is amazing what's turning up, and if you would only relax your copyright laws where silent films are concerned you would see an awful lot more suddenly appear.  That has been one of the worst chains on this whole affair of ours to try and rescue the past of the cinema.  And I'll just tell you one terrible story which sums it all up.  And I've got the film that – well, I shouldn't admit this because it's probably copyright – but I have the film in which this appears.  Junior Laemmle was in charge of the Collegians series at Universal.  And there's a sporting event, a swimming event, which one college wins and they build bonfires and they come home and have a wild party, or come back to the college and have the wild party, setting the bonfires alight.  But it doesn't burn, they don't burn strongly enough.  And Junior Laemmle says, ""Pile on the silent negatives; we'll never need them again.""  And on that note, that cautionary tale, they burnt beautifully.  I'll leave you.  Thank you.
"
2010,Irving G. Thalberg Memorial Award,Francis Ford Coppola," FRANCIS FORD COPPOLA:
Well, George [Lucas] is the closest thing I have to a younger brother, so you can imagine the affection and the pride I have in him.  But there were so many... I'm about three or four or five years older than the wonderful generation that did so much, so I'm very proud of them.  And the fact that this is the Thalberg Award is, the significance is not lost on me.  Because this is an award for producing.  This is not about my own writing and my own filmmaking, but this is about the talent that I came to really value.  And it's more about ""American Graffiti"" and ""The Black Stallion"" and ""Koyaanisqatsi,"" and I could go on, about ""Napoleon"" performed in the Radio City Music Hall with a live orchestra.  That happened because I'd always heard from my father that in the days when he was a boy, when he went to the movies to see ""Don Juan"" or ""The Thief of Bagdad,"" that there was a symphony orchestra.  And I said, gee, I'd love to see that.  And the way to see it was to take the ""Napoleon"" restoration and get a full-out symphony orchestra and perform it.  And it was a wonderful hit.  It was riveting.  And I'm so proud of the fact that that tradition of once again combining live music with the great silent films, or with any film, has become really something that we can see.

I don't have any words prepared.  In fact, I'm shooting a picture, and last night – we're shooting nights, so I went to bed around four in the morning last night.  And I said, well, I'll just get up and thank everyone for this honor.  I remember seeing the Thalberg Award given and thought, wow, that's fantastic.  And in a way, although I still consider myself a relatively young person, I'm one of the few people you'll meet today who actually worked for Jack Warner and had him say, ""No fog on the lake!""  Or Sam Goldwyn when he said to me, you know, [imitating:] ""Your films, I like your films for the spontinuity"" [purposefully mispronounces], he said to me.  So I had the pleasure – I do a great Samuel Goldwyn, as does Warren [Beatty].  He said to me, Samuel Goldwyn said to me, he said [imitating:] ""What are you doing? You're a Goldwyn Scholar.  You're so great.""  I said, well I want to direct, too.  [Imitating:] ""Direct?  You should be a writer.  Writer, you are a writer. You're a great writer. Write! Write! Write!""  So a year later I made a film, and I got a letter: Mr. Goldwyn would like to see you.  He said, [imitating:] ""Oh, you're a Goldwyn Scholar –"" This is really the way he talked, by the way, I'm not...  [Imitating:] ""You're a Goldwyn Scholar.""  He said, ""What are you doing?""  I said, well, I'm thinking of writing a new film. [Imitating:] ""Writing?  You're a director now!  Writers are nothing.  Direct! Direct!  Direct!""  So, you know, Adolph Zukor, Darryl Zanuck, who incidentally, as was said, was the first winner of the Thalberg Award, and I think he won it more than once as a matter of fact.  So I have a great love of the original Hollywood tradition, certainly going back to the silents which were some of the most beautiful movies ever made.  Murnau, by the way, had said himself, he said, ""The coming of sound to movies was inevitable, but it came too soon.""  It came too soon, which there is some truth in.  Those were beautiful films.

I, you know, I'm so proud of my family: my wife of forty-eight years, Eleanor, who's here; my fabulous children.  I made a very wise decision when I was a young guy.  I said to my wife, if I ever go away for more than two weeks I want to take the kids out of school – imagine that today – take the kids out of school.  I'm taking them with me.  And we always did, and as a result we had our family together through all of those adventures in the Philippines and what have you.  So, and then of course the other children in the Schwartzman family, and of course in, I can't say the Cage family, but we're very proud of Nicolas as you can imagine.  So I could tell you lots of stories but I haven't prepared any notes or anything other than to thank you from the bottom of my heart.  And my admiration for the tradition of Irving Thalberg and, of course, of the fantastic producers who have won it, and not the least of it is Dino. You know, what a loss, to lose... [imitating:] ""Dino, eh.  You know, Francis...""  I don't do Dino so well.  I think Warren does Dino.  At any rate, I thank you from the bottom of my heart.  I thank my family.  I thank my friends.  So many of my friends are here tonight and people I've worked with, my colleagues, and the people whose films I've admired.  Thank you so much. Thank you.
"
2011,Actor in a Leading Role,Jean Dujardin," JEAN DUJARDIN:
Thank you. Ouais! I love your country. Okay. Thank you to the Academy. It's funny because in 1929 it wasn't Billy Crystal but Douglas Fairbanks who hosted the first Oscar ceremony. Tickets cost five dollars and it lasted fifteen minutes. Times have changed. So thank you, Douglas Fairbanks. Yes, Melissa, your grandfather's spirit and joie de vivre inspired me for this role. And so many of you here tonight have inspired me. Thank you, Michel. Thank you for this incredible gift. Thank you, my wonderful partner, Bérénice Bejo. Thank you, the wonderful cast and crew. My wife, I love you. Kisses, Simon, Jules, Chloe. And if George Valentin could speak, he'd say: Wouaou! Putain! Genial! Merci! Formidable! Merci beaucoup! I love you!
"
2011,Documentary (Short Subject),Daniel Junge and Sharmeen Obaid-Chinoy," DANIEL JUNGE:
Well, it's more important that the Pakistani on the stage speak instead of me, but I just quickly want to simply thank HBO, Sheila Nevins, Lisa Heller, for making this film possible, my wife Erin, and our editor Davis. But please, please, Sharmeen, speak.

SHARMEEN OBAID-CHINOY:
Daniel and I want to dedicate this award to all the heroes working on the ground in Pakistan, including Dr. Mohammad Jawad, who's here with us today, the plastic surgeon working on rehabilitating all these women.  Rukhsana and Zakia, who are our main subjects of the film, whose resilience and bravery in the face of such adversity is admirable. And to all the women in Pakistan who are working for change, don't give up on your dreams. This is for you.
"
2011,Makeup,Mark Coulier and J. Roy Helland," J. ROY HELLAND:
Thank you, Academy. And thank you to my colleague on ""The Iron Lady,"" Mark Coulier, without whose brilliant prosthetics I wouldn't be standing here this evening. Thanks, Meryl, for keeping me employed for the last thirty-seven years. Your brilliance makes my work look good no matter what. I'm a child of the Saturday and Sunday double-double features, so getting to work in the movies is a dream come true. Thank you.

MARK COULIER:
I'd just like to say what an amazing experience. Thanks to Meryl, you were incredible. And just a quick thank you to Barrie Gower and Stephen Murphy. And my kids, Isabelle, Ethan, and my wife Amanda, and my dad. Thank you, guys.
"
2011,Music (Original Score),Ludovic Bource," LUDOVIC BOURCE:
Wow, I want to pay, first of all, a tribute for the power of the music. And I want to thank you and pay tribute to my co-nominees: Mr. Williams, Mr. Shore, and Mr. Iglesias. And Hans Zimmer is downstairs, he refused to submit to this year's, so I thank you for your chair, Hans Zimmer. I don't know if you can see him. Thank you Sheila E. and all the musicians tonight for the wonderful show. Can I have ten seconds more, Hans? Sorry, I have a little speech [pulling out his notes].

I'd like to thank the Academy. With this Oscar you have given a man a special honor. And to all of you, please accept me because I've got so much love to give. I've got so much love to give to you. My wife, Sara, is there, [unintelligible] pour toi, ma chèrie. Je t'aime. Thank you for all. Thank you, Michel.
"
2011,Music (Original Song),Music and Lyric by Bret McKenzie," BRET McKENZIE:
Wow. Thank you, Academy. I grew up in New Zealand watching ""The Muppets"" on TV. I never dreamed I'd get to work with them. And I was genuinely starstruck when I finally met Kermit the Frog, but once you get to know him he's just a normal frog. And like many stars here tonight, he's a lot shorter in real life. Just a few jokes. Okay.

I'd  like to thank everyone who worked with me on the film, especially James Bobin for doing such a perfect job of bringing the song to life on screen. Mickey Petralia, for getting such a sweet sound. Disney, for making movies with songs in them. My wife Hannah, our two kids, Vita and Leo, for all their love and support. My friends and family at home, especially my parents for never telling me to get a real job. And finally, Jim Henson and his original team, for creating the magical world of the Muppets. It's a true honor to work in the shadows of such legends. Thank you.
"
2011,Best Picture,"Thomas Langmann, Producer (accompanied on stage by director Michel Hazanavicius and 12 additional members of the cast and crew)"," THOMAS LANGMANN:
I want to say thank you from the bottom of my heart to you, members of the Academy, to you, Harvey, not only because we receive tonight the award that any filmmaker would ever dream to receive, but because you're offering me tonight the opportunity to pay tribute to a member of this Academy that I miss so much: the Oscar winner Claude Berri. And he directed movies like ""The Two of Us,"" ""Jean de Florette,"" and produced and worked with directors such as Francis Ford Coppola, Milos Forman, Pedro Almodovar, Roman Polanski. And I always thought and remember, will I ever one day be able to work with such director, a director that could stand in front of these example? And tonight I know I do, because I am the producer of Michel Hazanavicius. And I am glad to be his producer.

MICHEL HAZANAVICIUS:
Okay, thank you. I'd like to say very, very important things. I want to say hi to my kids, and it's six in the morning in Paris so you should go to bed in thirty seconds. I want to say to my wife, Bérénice Bejo, who's here, that I love you. But it's not just that, it's about the movie. You inspired the movie and you're the soul of the movie and the positive feeling of the movie. Thank you for being this in the movie and in my life. And I want to thank three person: I want to thank Billy Wilder. I want to thank Billy Wilder. And I want to thank Billy Wilder. Thank you very much.
"
2011,Sound Editing,Philip Stockton and Eugene Gearty," EUGENE GEARTY:
You go.

PHILIP STOCKTON:
No, Hugo.

EUGENE GEARTY:
Oh. I'd like to thank the members of the Academy. My crew back in New York City, you know who you are. Thelma, whose indefatigable work ethic is an inspiration to all of us. And Marty, thank you so much for yet another opportunity to work on an ""other"" great film. Thank you so much.

PHILIP STOCKTON:
I just want to thank everybody who's here tonight and everybody who isn't, and everybody who's ever been born or may be born or be born again or reborn. If I've forgotten anybody then you probably know who you are. I specifically want to thank Graham King and Tim Headington, my wife Gail, my daughter Julia. Thelma, Marty, I love you guys. Thank you.
"
2011,Sound Mixing,Tom Fleischman and John Midgley," TOM FLEISCHMAN:
Wow, this is an incredible honor. Thanks to the Academy. Thanks to Graham King and Tim Headington for producing ""Hugo."" Many thanks to my fellow nominees who inspire me, and you do inspire me, for years. Marty and Thelma, what a joy and a privilege it's been to work with you.  And my wife Priscilla, for her unending love and support. Everyone back in New York at Soundtrack and C5. Thank you to Dede Allen and Dick Vorisek, you couldn't be here tonight but I know you're both smiling.

JOHN MIDGLEY:
This is such an honor. Thank you so much. Thank you to my crew, Mike and Charlotte. And thank you so much to Martin Scorsese. Thank you.
"
2012,Actor in a Leading Role,Daniel Day-Lewis," DANIEL DAY-LEWIS:
I really don't know how any of this happened. I do know that I've received so much more than my fair share of good fortune in my life and I'm so grateful to the Academy for this beautiful honor. It's a strange thing because three years ago, before we decided to do a straight swap, I had actually been committed to play Margaret Thatcher... and Meryl was Steven's first choice for Lincoln. And I'd like to see that version. And Steven didn't have to persuade me to play Lincoln but I had to persuade him that perhaps, if I was going to do it, that ""Lincoln"" shouldn't be a musical.

My fellow nominees, my equals, my betters, I'm so proud to have been included as one amongst you. When we got married sixteen years ago – or since we got married sixteen years ago – my wife Rebecca has lived with some very strange men. I mean they were strange as individuals and probably even stranger if taken as a group. But luckily she's the versatile one in the family and she's been the perfect companion to all of them. I'd like to thank Kathy Kennedy, our producer, and through you, Kathy... and through you, our mighty team of co-conspirators. At the apex of that human pyramid there are three men to whom I owe this and a great deal more: Tony Kushner; our beloved skipper Steven Spielberg; and the mysteriously beautiful mind, body and spirit of Abraham Lincoln. For my mother. Thank you so much.
"
2012,Animated Feature Film,Mark Andrews and Brenda Chapman," MARK ANDREWS:
I just happened to be wearing the kilt; I didn't plan any of this. I'd like to thank the Academy for this incredible honor. Making a movie has its own story. I'd like to thank John Lasseter, Ed Catmull, Jim Morris, Andrew Stanton, Pete Docter, Brenda Chapman, Katherine Sarafian for making the making of ""Brave"" an exceptional story. My wife and my four kids: Maeve, Jack, Paden and Ford.

BRENDA CHAPMAN:
I'd like to give a shout-out to my wonderful, strong, beautiful daughter Emma, who inspired ""Brave"" into being. So thank you to her and my husband, and our incredible cast and crew. Thank you.
"
2012,Cinematography,Claudio Miranda," CLAUDIO MIRANDA:
Gee, wow. This movie was quite a beast to make. We did it, and the thing what I had was so much, was so many great... just that everyone just was really, totally there and supportive. I mean, I was really into, you know, Ang and the beautiful world that we... It was like one challenge. When you're a cinematographer and there's like one thing that just kind of... when you just have your eyes and you just kind of go up and up and up and up and up, and you just kind of reach this thing. Then you get really excited. There's exciting scenes for me that I love, like the candles and the things that we did that was nuts. Ah, Jesus... but it was really great. And I'd like to thank everyone that made this thing totally possible. The Academy, Fox... and oh my God I can't even speak. I know, wrap up now, the whole thing. Yeah, but I'd like to thank my wife, my daughter's up there. And... everyone, thank you so much.
"
2012,Directing,Ang Lee," ANG LEE:
Thank you. Thank you so much. Thank you, movie god. I really need to share this with all three thousand, everybody worked with me on ""Life of Pi."" I want to thank you for… I really want to thank you for believing this story and share this incredible journey with me. I need to thank Yann Martel for writing this incredible, inspiring book. Everyone at Fox, thank you for taking the leap with me, especially Tom Rothman, Jim Gianopulos and Elizabeth Gabler. My producers: Gil Netter, David Womark, David Lee.

Wonderful cast. Suraj, where are you? You're a miracle. He's playing the young ""Pi,"" carrying the movie. Every one of you in the cast... I cannot waste this time talking about them... I really... you're the golden statue in my heart. I cannot make this movie without the help of Taiwan. We shot there. I want to thank everybody there helped us, especially the city of Taichung. My Indian crew, I love you. My Canadian crew, I love you. My family in Taiwan. My wife, Jane Lin – we'll be married thirty years this summer – I love you. My boys, Han and Mason, thank you for your support. Finally, my agent Carin Sage and lawyer[s] Ira Schreck and Joe Dapello – I have to do that, especially for this movie. It's great to have your support. Thank you, Academy. Xie xie. Namaste.
"
2012,Film Editing,William Goldenberg," WILLIAM GOLDENBERG:
Thank you, guys. Thank you all so much. Thank you, members of the Academy, for honoring ""Argo"" with this award. I really, really appreciate it. I want to thank my great crew: Brett, Joe and Paula. I want to thank Warner Bros. And I want to thank our great producers, George Clooney and Grant Heslov. And Chris Terrio, for writing an editor's dream for a screenplay. And Ben, I share this with you. You're my brother, I love you. And thank you for this. My wife Allison and my great children, Nathan and Erin, thank you so much. You made this all possible. Thanks, everybody. Thank you. Good night.
"
2012,Music (Original Score),Mychael Danna," MYCHAEL DANNA:
I share this wondrous award with our visionary captain, Mr. Ang Lee. There he is – we're playing this game again. Who guided a truly global cast and crew in the telling of this wondrous, beautiful story that transcends culture and race and religion. In the same spirit, musicians from around the globe came together to breathe life into this music and I hold this award on their behalf. I want to thank my beautiful Fox family. My mom, who's in a balcony here watching. My father, who's also watching. And most of all, my wife Aparna and our two beautiful boys, Arjun and Keshav, who remind me every day why stories like this need to be told. Thank you, everyone. Thank you, Academy. Thank you.
"
